Афганістан,19.07.2017,5р,,
Іран,07.10.2017,шлюб,,
Афганістан,03.10.2017,шлюб,,
Афганістан,05.08.2017,5р,,
Афганістан,22.03.2017,біж,,
Афганістан,01.09.2017,біж,,
Сирія,28.02.2017,шлюб,,
Конго,15.06.2017,біж,,
Сирія,07.11.2017,5р,,
Сирія,20.10.2017,шлюб,,
Афганістан,02.02.2017,біж,,
Сирія,25.07.2017,шлюб,,
Сирія,20.09.2017,шлюб,,
Ємен,23.08.2016,шлюб,,
Сирія,13.10.2017,шлюб,,
Сирія,09.10.2017,шлюб,,
Сирія,20.10.2017,шлюб,,
Молдова,24.05.2017,шлюб,,
Грузія,27.09.2017,шлюб,,
Ірак,24.05.2017,шлюб,,
Молдова,7.06.2017,5р,,
Сирія,7.07.2017,5р,,
Афганістан,14.10.2017,біж,,
Афганістан,15.12.2016,шлюб,,
Сирія,25.10.2017,шлюб,,
Сирія,03.11.2017,шлюб,,
Афганістан,24.06.2017,шлюб,,
Афганістан,07.07.2017,біж,,
Сирія,23.10.2017,5р,,
Сирія,18.10.2017,шлюб,,
Сирія,01.11.2017,шлюб,,
Афганістан,10.08.2017,біж,,
Сирія,13.10.2017,шлюб,,
Сирія,06.10.2017,шлюб,,
Ірак,08.11.2017,шлюб,,
Ефіопія,23.12.2016,біж,,
